"invoice_id","customer_id","Old_Total","New_Total"
404,6,"25.86","51.72"
299,26,"23.86","47.72"
194,46,"21.86","43.72"
96,45,"21.86","43.72"
89,7,"18.86","37.72"
201,25,"18.86","37.72"
88,57,"17.91","35.82"
313,43,"16.86","33.72"
306,5,"16.86","33.72"
103,24,"15.86","31.72"
208,4,"15.86","31.72"
193,37,"14.91","29.82"
5,23,"13.86","27.72"
26,19,"13.86","27.72"
362,14,"13.86","27.72"
124,20,"13.86","27.72"
180,29,"13.86","27.72"
173,50,"13.86","27.72"
131,58,"13.86","27.72"
166,12,"13.86","27.72"
159,33,"13.86","27.72"
19,40,"13.86","27.72"
138,37,"13.86","27.72"
152,54,"13.86","27.72"
145,16,"13.86","27.72"
376,31,"13.86","27.72"
369,52,"13.86","27.72"
355,35,"13.86","27.72"
33,57,"13.86","27.72"
348,56,"13.86","27.72"
341,18,"13.86","27.72"
40,36,"13.86","27.72"
334,39,"13.86","27.72"
327,1,"13.86","27.72"
47,15,"13.86","27.72"
320,22,"13.86","27.72"
54,53,"13.86","27.72"
397,27,"13.86","27.72"
61,32,"13.86","27.72"
292,47,"13.86","27.72"
411,44,"13.86","27.72"
68,11,"13.86","27.72"
285,9,"13.86","27.72"
278,30,"13.86","27.72"
75,49,"13.86","27.72"
271,51,"13.86","27.72"
264,13,"13.86","27.72"
12,2,"13.86","27.72"
82,28,"13.86","27.72"
257,34,"13.86","27.72"
250,55,"13.86","27.72"
243,17,"13.86","27.72"
236,38,"13.86","27.72"
390,48,"13.86","27.72"
229,59,"13.86","27.72"
222,21,"13.86","27.72"
215,42,"13.86","27.72"
383,10,"13.86","27.72"
110,3,"13.86","27.72"
117,41,"13.86","27.72"
187,8,"13.86","27.72"
311,28,"11.94","23.88"
298,17,"10.91","21.82"
312,34,"10.91","21.82"
102,15,"9.91","19.82"
206,48,"8.94","17.88"
214,33,"8.91","17.82"
284,59,"8.91","17.82"
130,49,"8.91","17.82"
277,21,"8.91","17.82"
11,52,"8.91","17.82"
74,40,"8.91","17.82"
207,54,"8.91","17.82"
123,11,"8.91","17.82"
270,42,"8.91","17.82"
109,53,"8.91","17.82"
263,4,"8.91","17.82"
186,58,"8.91","17.82"
81,19,"8.91","17.82"
256,25,"8.91","17.82"
18,31,"8.91","17.82"
249,46,"8.91","17.82"
151,45,"8.91","17.82"
137,28,"8.91","17.82"
361,5,"8.91","17.82"
200,16,"8.91","17.82"
354,26,"8.91","17.82"
410,35,"8.91","17.82"
32,48,"8.91","17.82"
242,8,"8.91","17.82"
382,1,"8.91","17.82"
347,47,"8.91","17.82"
235,29,"8.91","17.82"
340,9,"8.91","17.82"
25,10,"8.91","17.82"
39,27,"8.91","17.82"
116,32,"8.91","17.82"
95,36,"8.91","17.82"
333,30,"8.91","17.82"
158,24,"8.91","17.82"
326,51,"8.91","17.82"
403,56,"8.91","17.82"
46,6,"8.91","17.82"
4,14,"8.91","17.82"
228,50,"8.91","17.82"
319,13,"8.91","17.82"
396,18,"8.91","17.82"
368,43,"8.91","17.82"
389,39,"8.91","17.82"
291,38,"8.91","17.82"
165,3,"8.91","17.82"
67,2,"8.91","17.82"
179,20,"8.91","17.82"
221,12,"8.91","17.82"
60,23,"8.91","17.82"
144,7,"8.91","17.82"
53,44,"8.91","17.82"
172,41,"8.91","17.82"
375,22,"8.91","17.82"
305,55,"8.91","17.82"
205,44,"7.96","15.92"
310,24,"7.96","15.92"
87,51,"6.94","13.88"
52,38,"5.94","11.88"
3,8,"5.94","11.88"
10,46,"5.94","11.88"
17,25,"5.94","11.88"
24,4,"5.94","11.88"
31,42,"5.94","11.88"
38,21,"5.94","11.88"
45,59,"5.94","11.88"
59,17,"5.94","11.88"
66,55,"5.94","11.88"
73,34,"5.94","11.88"
80,13,"5.94","11.88"
94,30,"5.94","11.88"
101,9,"5.94","11.88"
108,47,"5.94","11.88"
115,26,"5.94","11.88"
122,5,"5.94","11.88"
129,43,"5.94","11.88"
136,22,"5.94","11.88"
143,1,"5.94","11.88"
150,39,"5.94","11.88"
157,18,"5.94","11.88"
164,56,"5.94","11.88"
171,35,"5.94","11.88"
178,14,"5.94","11.88"
185,52,"5.94","11.88"
192,31,"5.94","11.88"
199,10,"5.94","11.88"
213,27,"5.94","11.88"
220,6,"5.94","11.88"
227,44,"5.94","11.88"
234,23,"5.94","11.88"
241,2,"5.94","11.88"
248,40,"5.94","11.88"
255,19,"5.94","11.88"
262,57,"5.94","11.88"
269,36,"5.94","11.88"
276,15,"5.94","11.88"
283,53,"5.94","11.88"
290,32,"5.94","11.88"
297,11,"5.94","11.88"
304,49,"5.94","11.88"
318,7,"5.94","11.88"
325,45,"5.94","11.88"
332,24,"5.94","11.88"
339,3,"5.94","11.88"
346,41,"5.94","11.88"
353,20,"5.94","11.88"
360,58,"5.94","11.88"
367,37,"5.94","11.88"
374,16,"5.94","11.88"
381,54,"5.94","11.88"
388,33,"5.94","11.88"
395,12,"5.94","11.88"
402,50,"5.94","11.88"
409,29,"5.94","11.88"
99,3,"3.98","7.96"
98,1,"3.98","7.96"
309,22,"3.98","7.96"
204,42,"3.98","7.96"
308,20,"3.98","7.96"
212,23,"3.96","7.92"
156,14,"3.96","7.92"
254,15,"3.96","7.92"
345,37,"3.96","7.92"
170,31,"3.96","7.92"
37,17,"3.96","7.92"
2,4,"3.96","7.92"
149,35,"3.96","7.92"
142,56,"3.96","7.92"
261,53,"3.96","7.92"
338,58,"3.96","7.92"
79,9,"3.96","7.92"
380,50,"3.96","7.92"
401,46,"3.96","7.92"
177,10,"3.96","7.92"
219,2,"3.96","7.92"
268,32,"3.96","7.92"
198,6,"3.96","7.92"
100,5,"3.96","7.92"
331,20,"3.96","7.92"
44,55,"3.96","7.92"
373,12,"3.96","7.92"
275,11,"3.96","7.92"
184,48,"3.96","7.92"
72,30,"3.96","7.92"
114,22,"3.96","7.92"
324,41,"3.96","7.92"
226,40,"3.96","7.92"
408,25,"3.96","7.92"
282,49,"3.96","7.92"
394,8,"3.96","7.92"
317,3,"3.96","7.92"
51,34,"3.96","7.92"
23,59,"3.96","7.92"
289,28,"3.96","7.92"
65,51,"3.96","7.92"
135,18,"3.96","7.92"
121,1,"3.96","7.92"
86,47,"3.96","7.92"
128,39,"3.96","7.92"
352,16,"3.96","7.92"
107,43,"3.96","7.92"
359,54,"3.96","7.92"
30,38,"3.96","7.92"
16,21,"3.96","7.92"
247,36,"3.96","7.92"
233,19,"3.96","7.92"
296,7,"3.96","7.92"
9,42,"3.96","7.92"
387,29,"3.96","7.92"
58,13,"3.96","7.92"
93,26,"3.96","7.92"
303,45,"3.96","7.92"
366,33,"3.96","7.92"
191,27,"3.96","7.92"
163,52,"3.96","7.92"
240,57,"3.96","7.92"
203,40,"2.98","5.96"
202,39,"1.99","3.98"
412,58,"1.99","3.98"
307,19,"1.99","3.98"
97,59,"1.99","3.98"
7,38,"1.98","3.96"
182,44,"1.98","3.96"
183,46,"1.98","3.96"
120,58,"1.98","3.96"
189,23,"1.98","3.96"
190,25,"1.98","3.96"
119,56,"1.98","3.96"
196,2,"1.98","3.96"
197,4,"1.98","3.96"
15,19,"1.98","3.96"
113,20,"1.98","3.96"
112,18,"1.98","3.96"
106,41,"1.98","3.96"
210,19,"1.98","3.96"
211,21,"1.98","3.96"
105,39,"1.98","3.96"
217,57,"1.98","3.96"
218,59,"1.98","3.96"
385,25,"1.98","3.96"
224,36,"1.98","3.96"
225,38,"1.98","3.96"
386,27,"1.98","3.96"
231,15,"1.98","3.96"
232,17,"1.98","3.96"
92,24,"1.98","3.96"
238,53,"1.98","3.96"
239,55,"1.98","3.96"
91,22,"1.98","3.96"
245,32,"1.98","3.96"
246,34,"1.98","3.96"
14,17,"1.98","3.96"
85,45,"1.98","3.96"
252,11,"1.98","3.96"
253,13,"1.98","3.96"
84,43,"1.98","3.96"
259,49,"1.98","3.96"
260,51,"1.98","3.96"
78,7,"1.98","3.96"
266,28,"1.98","3.96"
267,30,"1.98","3.96"
392,4,"1.98","3.96"
77,5,"1.98","3.96"
273,7,"1.98","3.96"
274,9,"1.98","3.96"
393,6,"1.98","3.96"
71,28,"1.98","3.96"
280,45,"1.98","3.96"
281,47,"1.98","3.96"
70,26,"1.98","3.96"
287,24,"1.98","3.96"
288,26,"1.98","3.96"
64,49,"1.98","3.96"
294,3,"1.98","3.96"
295,5,"1.98","3.96"
63,47,"1.98","3.96"
301,41,"1.98","3.96"
302,43,"1.98","3.96"
57,11,"1.98","3.96"
56,9,"1.98","3.96"
1,2,"1.98","3.96"
315,58,"1.98","3.96"
316,1,"1.98","3.96"
50,32,"1.98","3.96"
399,42,"1.98","3.96"
49,30,"1.98","3.96"
322,37,"1.98","3.96"
323,39,"1.98","3.96"
400,44,"1.98","3.96"
43,53,"1.98","3.96"
329,16,"1.98","3.96"
330,18,"1.98","3.96"
42,51,"1.98","3.96"
336,54,"1.98","3.96"
337,56,"1.98","3.96"
36,15,"1.98","3.96"
343,33,"1.98","3.96"
344,35,"1.98","3.96"
8,40,"1.98","3.96"
35,13,"1.98","3.96"
350,12,"1.98","3.96"
351,14,"1.98","3.96"
29,36,"1.98","3.96"
357,50,"1.98","3.96"
358,52,"1.98","3.96"
28,34,"1.98","3.96"
364,29,"1.98","3.96"
365,31,"1.98","3.96"
406,21,"1.98","3.96"
22,57,"1.98","3.96"
371,8,"1.98","3.96"
372,10,"1.98","3.96"
407,23,"1.98","3.96"
21,55,"1.98","3.96"
141,54,"1.98","3.96"
147,31,"1.98","3.96"
148,33,"1.98","3.96"
140,52,"1.98","3.96"
154,10,"1.98","3.96"
155,12,"1.98","3.96"
134,16,"1.98","3.96"
161,48,"1.98","3.96"
162,50,"1.98","3.96"
378,46,"1.98","3.96"
133,14,"1.98","3.96"
168,27,"1.98","3.96"
169,29,"1.98","3.96"
379,48,"1.98","3.96"
127,37,"1.98","3.96"
175,6,"1.98","3.96"
176,8,"1.98","3.96"
126,35,"1.98","3.96"
118,55,"0.99","1.98"
398,41,"0.99","1.98"
300,40,"0.99","1.98"
139,51,"0.99","1.98"
62,46,"0.99","1.98"
293,2,"0.99","1.98"
6,37,"0.99","1.98"
90,21,"0.99","1.98"
55,8,"0.99","1.98"
405,20,"0.99","1.98"
286,23,"0.99","1.98"
314,57,"0.99","1.98"
153,9,"0.99","1.98"
27,33,"0.99","1.98"
69,25,"0.99","1.98"
363,28,"0.99","1.98"
132,13,"0.99","1.98"
167,26,"0.99","1.98"
48,29,"0.99","1.98"
321,36,"0.99","1.98"
237,52,"0.99","1.98"
384,24,"0.99","1.98"
279,44,"0.99","1.98"
230,14,"0.99","1.98"
272,6,"0.99","1.98"
377,45,"0.99","1.98"
328,15,"0.99","1.98"
370,7,"0.99","1.98"
209,18,"0.99","1.98"
76,4,"0.99","1.98"
265,27,"0.99","1.98"
181,43,"0.99","1.98"
41,50,"0.99","1.98"
335,53,"0.99","1.98"
223,35,"0.99","1.98"
160,47,"0.99","1.98"
391,3,"0.99","1.98"
258,48,"0.99","1.98"
83,42,"0.99","1.98"
174,5,"0.99","1.98"
342,32,"0.99","1.98"
216,56,"0.99","1.98"
195,1,"0.99","1.98"
13,16,"0.99","1.98"
146,30,"0.99","1.98"
111,17,"0.99","1.98"
34,12,"0.99","1.98"
349,11,"0.99","1.98"
188,22,"0.99","1.98"
104,38,"0.99","1.98"
251,10,"0.99","1.98"
125,34,"0.99","1.98"
244,31,"0.99","1.98"
20,54,"0.99","1.98"
356,49,"0.99","1.98"
